subte,hospital,metrobus,universidad,escuela publica,escuela privada,centro de salud
2969.07850081,824.387292631,1498.62033876,2114.58474015,124.674032457,339.152165885,1896.11955689
3609.42520527,505.800308293,1439.51211201,2595.65340621,199.838987831,25.055078944,2849.59050837
396.832352414,1340.49706044,1796.53428999,811.545523953,341.986002801,152.034508026,912.574144306
1990.99807325,464.758845871,484.041302029,1483.70639529,196.892925024,46.8651809031,1244.42434921
301.383883949,709.076121964,997.107056599,698.409288055,62.0782663459,132.314967146,566.136632583
456.817601662,1006.34878446,1039.02806897,533.267438232,383.384128378,117.202030352,705.091997663
1104.55884961,1196.12442818,1273.16196996,720.560107708,275.71070516,71.0221136101,506.381337292
1104.55884961,1196.12442818,1273.16196996,720.560107708,275.71070516,71.0221136101,506.381337292
1104.55884961,1196.12442818,1273.16196996,720.560107708,275.71070516,71.0221136101,506.381337292
1003.76417814,2390.76114752,1050.43050786,376.063930547,220.88937527,408.530358278,775.849847367
1003.76417814,2390.76114752,1050.43050786,376.063930547,220.88937527,408.530358278,775.849847367
1003.76417814,2390.76114752,1050.43050786,376.063930547,220.88937527,408.530358278,775.849847367
870.868521009,2132.88058062,1398.77324088,476.295667622,185.589452377,106.713589831,481.857594601
897.975303632,1755.13590987,1948.11637662,951.452421745,244.923147146,42.8181079448,426.126527579
897.975303632,1755.13590987,1948.11637662,951.452421745,244.923147146,42.8181079448,426.126527579
938.44076648,1688.29026574,2045.60167882,1056.72989653,349.30759939,100.134711826,499.833935106
959.969455382,1536.83264564,2250.22359021,1021.6017047,390.172664798,214.647175175,710.417941703
779.159964612,1338.8480972,2369.45317403,826.175989433,327.664461731,463.320109071,723.016918741
396.012779937,1288.65455566,2560.72685844,671.438364428,167.400886419,49.3280920087,940.382768466
490.780309743,1270.86188451,2558.07047798,504.182934883,258.967778918,126.314080307,1126.40420856
490.780309743,1270.86188451,2558.07047798,504.182934883,258.967778918,126.314080307,1126.40420856
448.852973183,1291.36539393,2571.9703794,422.359243634,237.928927124,230.996356917,1317.3066904
3343.62822344,350.528661474,1296.47330502,2708.068324,211.093978187,125.422303811,2787.06855339
548.592099101,1827.82204248,465.098145394,82.560166966,172.987736107,130.251084906,561.572227152
548.592099101,1827.82204248,465.098145394,82.560166966,172.987736107,130.251084906,561.572227152
500.010167876,745.864260031,66.434028477,416.232043943,175.57918436,82.9839564509,424.032228601
1644.48608903,2200.87242904,2688.74305841,1095.41507351,356.826844917,356.826844917,2674.34949106
1629.27481155,2138.61014476,2484.13138578,891.490424878,285.826967875,558.486663735,2771.30478843
385.938070665,2016.98129943,1930.00188836,797.549580251,272.989368668,91.6635047842,211.722076888
1153.21698778,1872.5146059,181.964574932,1119.52741972,348.10871888,207.001876509,672.438469916
1110.93359284,640.328803184,1126.6705254,444.535388695,164.861761272,316.299022132,324.940227807
1110.93359284,640.328803184,1126.6705254,444.535388695,164.861761272,316.299022132,324.940227807
1070.31441608,832.134725261,1009.69202982,1124.59528374,290.706782097,796.06574148,953.433573107
285.823244124,1237.89846378,2630.18579904,641.118354639,205.423799555,295.142970016,798.938140475
1096.19619794,610.60937248,2199.86556349,466.752601994,209.47788135,131.874862171,775.780178971
941.170530326,625.821828973,2429.7697878,635.880001448,239.877251675,128.651715142,686.962774809
872.138824686,681.274150734,2567.30202038,748.365608072,336.070996327,164.194134243,675.654580488
497.864757257,2665.64542204,1364.40391805,320.122664557,124.389043449,189.978165496,1500.28547117
996.823292719,855.96263576,826.971132004,725.776824853,209.736653422,200.118226496,378.173755098
623.848231631,301.45440273,2018.77427951,466.024563594,156.026838815,75.2973654102,546.64855211
683.199956604,1605.43278404,1528.00167677,558.552194588,74.2747401449,188.717247766,756.705261763
737.138718088,551.269577075,1221.67061213,937.20924035,126.40079235,100.703245108,830.018284862
1253.32392797,1290.39747567,408.612563544,1110.80094936,137.962786407,77.015553919,1267.38417509
1367.04413401,1421.57179049,369.534598167,1233.92553666,225.138989446,70.5720430473,1380.6830034
519.414964483,1013.89014693,899.48712277,662.542853512,327.334283957,238.633484824,719.786300219
1033.34492107,1135.75738543,1199.2473885,858.892516178,355.417070831,281.028648733,364.162095827
318.862679519,730.501441871,2223.03779025,353.388869273,267.855296871,29.0882947747,322.449502595
1611.01495647,794.687463557,1521.48044584,99.3038746953,323.950706264,179.35611341,1507.3020781
1611.01495647,794.687463557,1521.48044584,99.3038746953,323.950706264,179.35611341,1507.3020781
1762.47310891,348.151243285,1721.93827203,454.175523593,100.785542361,703.431623381,1325.05697377
3180.53846101,1570.21679561,1501.81792871,3208.47216992,350.173870844,135.414795919,3468.52467156
3180.53846101,1570.21679561,1501.81792871,3208.47216992,350.173870844,135.414795919,3468.52467156
790.581072879,1657.01757148,1336.96543286,131.108150374,166.371525654,163.847264393,238.274456146
849.218113332,1971.01920669,325.773376279,873.077336408,121.67676165,98.3546152876,1202.61549184
1318.9670732,2317.46326296,343.42152031,566.233848701,539.185603985,177.700897049,864.541061673
482.722302811,2536.20994243,1076.47744615,461.975212477,169.370016367,169.370016367,806.390808881
358.240947894,1656.99463193,621.113635892,1595.3947326,121.423360069,193.360889191,1715.03356534
358.240947894,1656.99463193,621.113635892,1595.3947326,121.423360069,193.360889191,1715.03356534
459.208854646,1543.39777727,603.028165027,1691.06987759,76.7442961731,196.193838454,1704.96516884
833.900626182,2449.08638271,901.795710382,596.492183642,154.604880663,339.025455053,1029.51522336
833.900626182,2449.08638271,901.795710382,596.492183642,154.604880663,339.025455053,1029.51522336
