id_univ,nombre,domicilio,tipo,sigla,domic_2,cp,telef,fax,web_univer,web_facult,unidad_aca,lon,lat,,,,
96,Instituto Universitario IDEA,1850 MORENO,IP,IDEA,Moreno 1850 pisos 1º, 2º, 3º, 4º, 5º,1094,5861-4307 (C)5861-4300,5861-4397,www.ideared.org,,Rectorado,-58.3924909439,-34.6129140819
52,Universidad de Morón,942 NICASIO OROÑO,UP,UNIMORON,Nicasio Oroño 942,1405,4581-8001,,,,Anexo Caballito Gestión Hotelera,-58.454552286,-34.6137956315,,,,
79,Universidad Abierta Interamericana,748 PALESTINA,UP,UAI,Palestina 748,1182,4862-9179/4865-8796,4867-4216,www.uai.edu.ar,,Localización Almagro,-58.4257823612,-34.6020904749,,,,
63,Universidad de Ciencias Empresariales y Sociales,1318 PARAGUAY,UP,UCES,Paraguay 1318,1057,4815-3290,813-2915,www.uces.edu.ar,,Facultad de Ciencias Empresariales,-58.3857691214,-34.598322233,,,,
63,Universidad de Ciencias Empresariales y Sociales,1338 PARAGUAY,UP,UCES,Paraguay 1338, Piso 11,1057,4815-3290/ 491,,www.uces.edu.ar,,-58.3860344633,-34.5983500099,,,,
63,Universidad de Ciencias Empresariales y Sociales,1401 PARAGUAY,UP,UCES,Paraguay 1401,1318,4815-3290,4814-5255,www.uces.edu.ar,,Facultad de Ciencias de la Comunicación,-58.3870988207,-34.598199956,,,,
63,Universidad de Ciencias Empresariales y Sociales,1457 PARAGUAY,UP,UCES,Paraguay 1457, 3º piso,1061,4815-3290,4816-5144,www.uces.edu.ar,,-58.3876773401,-34.5982233941,,,,
63,Universidad de Ciencias Empresariales y Sociales,1462 PARAGUAY,UP,UCES,Paraguay 1462, 1º piso,1061,4815-3290,4815-3290,www.uces.edu.ar,,-58.3876971273,-34.5984405199,,,,
1,Universidad de Buenos Aires,2155 PARAGUAY,UN,UBA,Paraguay 2155,1121,5950-9501/02/03 (C)9500/8000,,www.uba.ar,www.fmed.uba.ar,Facultad de Medicina,-58.3982560262,-34.5982628605,,,,
84,Instituto Universitario Nacional del Arte,786 PARAGUAY,IN,IUNA,Paraguay 786,1057,4516-0992/93/94/4322-1130,4516-0992,www.iuna.edu.ar,,Rectorado,-58.3780806302,-34.5977683483,,,,
42,Universidad Argentina John F. Kennedy,221 PARRAL,UP,UK,Parral 221,1405,4901-1079/1935,,www.kennedy.edu.ar,,Escuela de Odontología,-58.4398782184,-34.6168211743,,,,
46,Universidad Católica de Salta,533 PASEO COLON,UP,UCLP,Paseo Colón 533 piso 8º,1063,5169-3324/93316,,,,Subsede Académica Buenos Aires,-58.3697081967,-34.6139839946,,,,
1,Universidad de Buenos Aires,850 PASEO COLON,UN,UBA,Paseo Colón 850,1063,4331-0833/4342-6272/2659 (R)4343-0891 (C)0,4345-7262,www.uba.ar,www.fi.uba.ar,Facultad de Ingeniería,-58.3684159212,-34.6176277762,,,,
40,Universidad CAECE,555 PERON,UP,CAECE,Perón 555 1º piso,,4393-0014/4328-5226,,www.caece.edu.ar,,Escuela de Administración y Negocios,-58.3744692765,-34.6055261025,,,,
42,Universidad Argentina John F. Kennedy,1156 PERU,UP,UK,Perú 1156,1068,4300-3816,,www.kennedy.edu.ar,,Departamento de Penalistica,-58.3739764584,-34.6214100713,,,,
84,Instituto Universitario Nacional del Arte,1655 PIEDRAS,IN,IUNA,Piedras 1655,1140,4362-1699,,www.iuna.edu.ar,,Área Transdepartamental de Carrera de Formación Docente,-58.3752172605,-34.6281172099,,,,
42,Universidad Argentina John F. Kennedy,645 PIEDRAS,UP,UK,Piedras 645,1070,4345-0175/8671,,www.kennedy.edu.ar,,Departamento de Periodismo y Comunicaciones,-58.3776308693,-34.6156347742,,,,
79,Universidad Abierta Interamericana,1052 PIEDRAS,UP,UAI,Pieras 1052,1070,4300-2147,,www.uai.edu.ar,,Localización Centro Anexo,-58.377071942,-34.6203157375,,,,
79,Universidad Abierta Interamericana,735 PIEDRAS,UP,UAI,Pieras 735,1070,4300-2147,,www.uai.edu.ar,,Localización Centro Anexo,-58.3775972861,-34.6167044985,,,,
84,Instituto Universitario Nacional del Arte,1172 PINZON,IN,IUNA,Pinzón 1172,1161,4 301-2405,,www.iuna.edu.ar,,Carrera de Posgrado de Especialista en Arte-Terapia,-58.3692702355,-34.6366012903,,,,
94,"Instituto Universitario ""Escuela de Medicina del Hospital Italiano""",4240 POTOSI,IP,IUEMHI,Potosí 4240,1119,4983-2624 [C]495-90200,4983-2624,www.hospitalitaliano.org.ar/es,,Rectorado,-58.4268437283,-34.6074211953,,,,
1,Universidad de Buenos Aires,470 PUAN,UN,UBA,Puán 470,1406,4432-9608/0606,4432-0121,www.uba.ar,www.filo.uba.ar,Facultad de Filosofía y Letras,-58.4465056434,-34.6281939922,,,,
39,Pontificia Universidad Católica Argentina,183 FREIRE,UP,UCA,Ramón Freire 183,1426,4552-2711/2721/2724,4552-2711,,,Facultad de Ciencias Agrarias,-58.4443821072,-34.5792818347,,,,
8,Universidad Nacional de General San Martín,2250 RAMSAY,UN,UNGSM,Ramsay 2250 - Nuñez,1428,4576-0450/51/55,4576-0450,www.ungsm.edu.ar,,Instituto de Ciencias de la Rehabilitación y el Movimiento,-58.4413265438,-34.5506739158,,,,
