64;Universidad de Palermo;932 JEAN JAURES;UP;UP;Jean Jaures 932/6;1175;4962-4647/5199 -4500;4963-1560;www.palermo.edu;;Facultad de Arquitectura;-58.407255243589859;-34.599080524433866
52;Universidad de Morón;1022 URIBURU;UP;UNIMORON;José Evaristo Uriburu 1022/1045;1114;4821-2616/4822-6824;;;;Anexo Académico Barrio Norte;-58.398974167615137;-34.596653458900882
56;Universidad del Salvador;1063 JUNIN;UP;USAL;Junin 1063;1113;4825-8622;4825-8622;www.salvador.edu.ar;;Escuela de Arte y Arquitectura;-58.397256937542608;-34.596207881857417
1;Universidad de Buenos Aires;954 JUNIN;UN;UBA;Junín 954;1113;4964-8222/4508-3644/4964-8224/8200;4508-3648;www.uba.ar;www.ffyb.uba.ar;Facultad de Farmacia y Bioquímica;-58.397678209553796;-34.597845505621933
45;Universidad Católica de La Plata;1254 LARREA;UP;UCLP;Larrea Nº 1254;1117;4826-7026;;;;Sede Buenos Aires;-58.400442732936611;-34.592737019554022
49;Universidad de Belgrano;485 LAVALLE;UP;UB;Lavalle 485;1047;4393-5588/8459/8491;;www.ub.edu.ar;;Departamento de Posgrado y Educación Continua;-58.373695305741201;-34.601982877779136
82;Instituto de Enseñanza Superior del Ejército;480 LUIS MARIA CAMPOS;IN;IESE;Luis María Campos 480;1426;4576-3692/93;4576-5592;;www.escuelasuperiordeguerra.iese.edu;"Escuela Superior De Guerra ""Teniente General Luís Maria Campos""";-58.434103349150575;-34.572886772554924
56;Universidad del Salvador;1335 MARCELO T. DE ALVEAR;UP;USAL;Marcelo T. de Alvear  1335/37;1058;4811-1279/4813-5622/3408;4811-1279;www.salvador.edu.ar;;Facultad de Ciencias Económicas;-58.386179473697894;-34.596835025879287
1;Universidad de Buenos Aires;2142 MARCELO T. DE ALVEAR;UN;UBA;Marcelo T. de Alvear 2142;1122;4508-3956/4964-1238/1239 (R)4964-1200;4508-3958;www.uba.ar;www.odon.uba.ar;Facultad de Odontología;-58.398098253782038;-34.597332830100775
1;Universidad de Buenos Aires;2230 MARCELO T. DE ALVEAR;UN;UBA;Marcelo T. de Alvear 2230;1122;4508-3813/3814 /3800/3804/3805/3806/3807;4508-3818;www.uba.ar;www.fsoc.uba.ar;Facultad de Ciencias Sociales;-58.399316964847891;-34.597149031720058
64;Universidad de Palermo;1259 MARIO BRAVO;UP;UP;Mario Bravo 1259;1175;5199-4500;4963-1560;www.palermo.edu;;Facultad de Ciencias Sociales;-58.414559886340967;-34.595028079018817
96;Instituto Universitario de Salud Mental de la Asociación Psicoanalitica de Buenos A;1850 MAURE;IP;APdeBA;Maure 1850;1426;4775-7867/7985/4779-0512;4775-7867;www.iusam.edu.ar;;Rectorado;-58.436883072979541;-34.568013643056076
38;Universidad Tecnológica Nacional;951 MEDRANO;UN;UTN;Medrano 951;1179;4862-1374/1881/4867-7521/7500;4867-7575;www.utn.edu.ar;www.frba.utn.edu.ar;Facultad Regional Buenos Aires;-58.420072184021876;-34.598596150809179
79;Universidad Abierta Interamericana;2759 MONTAÑESES;UP;UAI;Montañeses 2759;1428;4788-2925/4787-9786/4788-2925;4780-3335;www.uai.edu.ar;;Localización Belgrano;-58.453756991310954;-34.551422393084451
79;Universidad Abierta Interamericana;745 MONTES DE OCA;UP;UAI;Montes de Oca 745;;4301-5240/5248/5398;;www.uai.edu.ar;;Localización Centro Anexo Cisneros;-58.375245353878;-34.63669114794174
96;Instituto Universitario IDEA;1850 MORENO;IP;IDEA;Moreno 1850 pisos 1º, 2º, 3º, 4º, 5º;1094;5861-4307 (C)5861-4300;5861-4397;www.ideared.org;;Rectorado;-58.392490943899006;-34.612914081855294
52;Universidad de Morón;942 NICASIO OROÑO;UP;UNIMORON;Nicasio Oroño 942;1405;4581-8001;;;;Anexo Caballito Gestión Hotelera;-58.454552285987347;-34.61379563145848
79;Universidad Abierta Interamericana;748 PALESTINA;UP;UAI;Palestina 748;1182;4862-9179/4865-8796;4867-4216;www.uai.edu.ar;;Localización Almagro;-58.42578236119774;-34.602090474913929
63;Universidad de Ciencias Empresariales y Sociales;1318 PARAGUAY;UP;UCES;Paraguay 1318;1057;4815-3290;813-2915;www.uces.edu.ar;;Facultad de Ciencias Empresariales;-58.385769121425724;-34.598322233019005
63;Universidad de Ciencias Empresariales y Sociales;1338 PARAGUAY;UP;UCES;Paraguay 1338, Piso 11;1057;4815-3290/ 491;;www.uces.edu.ar;;Departamento de Posgrados;-58.38603446327518;-34.598350009948675
63;Universidad de Ciencias Empresariales y Sociales;1401 PARAGUAY;UP;UCES;Paraguay 1401;1318;4815-3290;4814-5255;www.uces.edu.ar;;Facultad de Ciencias de la Comunicación;-58.387098820699343;-34.598199955973001
